Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Atrapados en Japón,2015,N/A,16 Sep 2015,N/A,Documentary,Vivienne Barry,"Vivienne Barry, Renato Villegas",N/A,"In 1941, six journalists from the main newspapers in Chile were officially invited by the Japanese government to visit Japan and Manchuria. The tour was suspended when they were in Beijing due to the international political situat...",Spanish,Chile,1 nomination total,https://m.media-amazon.com/images/M/MV5BODgwZGQ1OGQtY2E1My00MzNhLWEzODAtMGE2N2VkZWFkYTI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,16,tt5126718,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Jezebel,1938,Approved,26 Mar 1938,104 min,"Drama, Romance",William Wyler,"Clements Ripley, Abem Finkel, John Huston","Bette Davis, Henry Fonda, George Brent","In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.","English, French",United States,Won 2 Oscars. 9 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZGUxZDFiNmUtM2I4Ni00Yjk5LWE3ZmUtZjQ5ZGUyY2JkMmY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.4,"15,819",tt0030287,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
José el Soñador,1983,N/A,18 Aug 1983,N/A,Musical,"Manuel Gurría, Julissa",N/A,"Mario Bezares, Roberto Blandón, Juan Cañedo",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMzEzYTA1NGUtN2Y0Yy00ZTgzLWFkODctNzg5NzU3ODAxMjA1XkEyXkFqcGdeQXVyMTM0NzY0ODYw._V1_SX300.jpg,[],N/A,N/A,N/A,tt10850486,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Juana la Loca... de vez en cuando,1983,N/A,19 Sep 1983,87 min,"Comedy, Musical",José Ramón Larraz,Juan José Alonso Millán,"Lola Flores, Beatriz Elorrieta, Jaime Morey","The Catholic Monarchs care about Torquemada's obsession to prosecute everyone. Cisneros presents senile amnesia, Infanta Isabel has become republican, and Juana is in love. A comic and sui generis vision of the Court of the Catholic Monarchs.",Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BYzU0N2M0MDYtOGViNy00Yzc3LWEyNDAtZjY3YjNlMTg0MTQ2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,105,tt0085765,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
The Guns of Juana Gallo,1961,Not Rated,N/A,91 min,"War, Drama",Miguel Zacarías,Miguel Zacarías,"María Félix, Jorge Mistral, Luis Aguilar",The true life's story of Juana Gallo. A woman who rose to become one of the leaders of the Mexican revolution.,Spanish,Mexico,1 nomination,https://m.media-amazon.com/images/M/MV5BMTUwMTIzMzAzOV5BMl5BanBnXkFtZTcwMDc4OTQ1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,108,tt0053968,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Juego de niños,2002,N/A,08 Aug 2002,5 min,"Short, Drama, Romance",Carlos Cuarón,Carlos Cuarón,"Sherlyn, Carola Vázquez, Jorge Zárate","Tere, punished by her father, must endure the tedious confinement of her room. In an unusual act of rebellion and anger, she discovers that love is not a child's play.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMzgyZDQ2Y2UtMTQwOS00YWQ5LWFlZmItMjcyOTEwODc0YjE2L2ltYWdlXkEyXkFqcGdeQXVyMDY4Mjc2MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,33,tt0304246,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Juego Macabro,2023,N/A,16 Aug 2023,N/A,"Short, Comedy",Tomás Lomeña,Pascual Contreras,"Sufián Mohamed, Pascual Contreras",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZTc5M2VmNjItMWE3Yy00NmRhLTg3ODAtZTE4MWEzMWM1OWQyXkEyXkFqcGdeQXVyMTc4MzEzODkw._V1_SX300.jpg,[],N/A,N/A,N/A,tt31557641,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Juegos de Guerra: La Batalla Escondida,2013,N/A,14 Jan 2013,6 min,"Short, Comedy",Bruno Scopazzo,Eduardo Hunter,"Santiago Fondevila, Javier Mele, Ernesto Rowe","Soldiers are in a firefight, trying to take an enemy stronghold.",Spanish,Argentina,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMmRkZjgxMzQtMTJlNy00NTUwLTgwOTQtNjY4YzVkMGQwMDg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjU5MDMxMzA@._V1_SX300.jpg,[],N/A,N/A,7,tt3375732,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Hostal Royal Manzanares,1996–1998,N/A,15 Feb 1996,N/A,Comedy,N/A,N/A,"Lina Morgan, Joaquín Kremel, Tote García Ortega","""Hostal Royal Manzanares"" narrates the vicissitudes of Reme, a provincial woman with economic difficulties that arrives from their town to Madrid with her father Paciano, to live in the inn managed by her aunt Asuncion. Reme, with their humanity and very particular sense of humor captures with a smile to anybody that has the luck of meeting with her.",Spanish,Spain,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOGEwODkxZmQtMTUzZi00OGE2LThjMTItN2JlYWFkMDg0OGZhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,135,tt0124946,series,,,,,True,CINE.pdf,4
Invasores,2016,N/A,21 Jan 2016,82 min,Drama,"Marcelo Toledo, Paolo Gregori","Paolo Gregori, Marcelo Toledo","Rita Batata, Emanuela Fontes, Maxwell Nascimento","Claudia is 17 years old and lives in Perus, on the outskirts of São Paulo. A piano student in a musicalization course for underprivileged young people, she decides to study music at São Paulo University. Without an instrument to rehearse, she enlists the help of her boyfriend, a member of a group of taggers.",N/A,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BYWYxOTRmYmItMDA2OC00ZTUwLTlmNDAtZGMwMDUyZTIzZWQwL2ltYWdlXkEyXkFqcGdeQXVyNDA1MjIxMA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,10,tt5796726,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Jersey Boys,2014,R,20 Jun 2014,134 min,"Biography, Drama, Music",Clint Eastwood,"Marshall Brickman, Rick Elice","John Lloyd Young, Erich Bergen, Michael Lomenda","This movie is a musical biography of the Four Seasons, the rise, the tough times and personal clashes, and the ultimate triumph of a group of friends whose music became symbolic of a generation. Far from a mere tribute concert (though it does include numbers from the popular Four Seasons songbook), this movie gets to the heart of the relationships at the center of the group, with a special focus on frontman Frankie Valli (John Lloyd Young), the small kid with the big falsetto. In addition to following the quartet's coming-of-age as performers, the core of this movie is how an allegiance to a code of honor learned in the streets of their native New Jersey got them through a multitude of challenges: gambling debts, Mafia threats, and family disasters. This movie is a glimpse at the people behind a sound that has managed to endure for over four decades in the hearts of the public.","English, Italian, French",United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyMjA2OTM0NF5BMl5BanBnXkFtZTgwMzY2MTI2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.8,"38,345",tt1742044,movie,N/A,"$47,047,013",N/A,N/A,True,CINE.pdf,
Jumper,2008,PG-13,14 Feb 2008,88 min,"Action, Adventure, Sci-Fi",Doug Liman,"David S. Goyer, Jim Uhls, Simon Kinberg","Hayden Christensen, Samuel L. Jackson, Jamie Bell","David Rice is a high school student in Ann Arbor, abandoned by his mother at five, living with his callous, alcoholic father, enamored with Millie, a fellow student, and picked on by at least one classmate. On a winter's day, while about to drown, he discovers he can transport himself instantaneously to anyplace on earth. He runs away from home, goes to New York City, robs a bank vault, and comes to the attention of a shadowy group of government hunters. Eight years later, the hunters, led by the murderous Roland, get a fix on David. He heads home, searches out Millie, invites her to travel with him, and only later realizes that Roland and his crew are seriously deadly. Is everyone close to David in danger?","English, Italian, Japanese, Mandarin","Canada, United States",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMWQ3NjA3NTYtNDJiYi00ZTE0LWFmNzMtZjc0NTUxNjk2YTFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"335,588",tt0489099,movie,N/A,"$80,172,128",N/A,N/A,True,CINE.pdf,
Kalifornia,1993,R,03 Sep 1993,117 min,"Crime, Drama, Thriller",Dominic Sena,"Stephen Levy, Tim Metcalfe","Brad Pitt, Juliette Lewis, Kathy Larson","Brian Kessler, a journalist researching serial killers, and his photographer girlfriend Carrie set out on a cross-country tour of the sites of the killings. Sharing the ride and their expenses are Early Grayce, a paroled white trash criminal, and his girlfriend Adele. As the trip progresses, Early begins to appear more and more unstable, and Brian and Carrie begin to fear that they may have a real-life killer in the back seat of their car.",English,United States,4 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZGIyNmJiYmUtN2EzYS00NTU5LTllZmItMDA1YmFjNjM2ZjNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.7,"60,970",tt0107302,movie,N/A,"$2,395,231",N/A,N/A,True,CINE.pdf,
Kasbah,2000,Not Rated,22 Sep 2000,99 min,"Drama, Thriller",Mariano Barroso,"Mariano Barroso, Luis Marías, Joaquín Notario","Ernesto Alterio, Natalia Verbeke, José Sancho","After five years in Morocco, Mario is eager to return to Spain. The day before he's to leave, a fax tells him to meet the boss's teenage daughter. She and a red Jaguar arrive by ferry. Mario postpones his trip to get her situated, but the next day, at the Kasbah, she and her car disappear. The girl's father denies sending a fax, suspects she left Spain to join Mario, and thinks Mario killed her. Dad hires a murderous butcher to track Mario, who wants to find her for reasons not initially apparent. While Mario's search takes him south toward Mauritania, his path crosses that of Alix, a Spanish actress on holiday. Relationships between fathers and children explain a lot.",Spanish,"Spain, Argentina",N/A,https://m.media-amazon.com/images/M/MV5BODIwNWFjYzEtNWIxMC00MzExLWJlMDgtMzgwZDEzMGEwN2Q1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,171,tt0162901,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
King Kong,2005,PG-13,14 Dec 2005,187 min,"Action, Adventure, Romance",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Naomi Watts, Jack Black, Adrien Brody","Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind.",English,"United States, New Zealand, Germany",Won 3 Oscars. 47 wins & 104 nominations total,https://m.media-amazon.com/images/M/MV5BMWY0NWE0ZjUtNjRlOS00ZDViLTgxNTQtMGMwN2FhNDY1YTg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.2,"465,049",tt0360717,movie,N/A,"$218,080,025",N/A,N/A,True,CINE.pdf,
Lady in the Water,2006,PG-13,21 Jul 2006,110 min,"Drama, Fantasy, Mystery",M. Night Shyamalan,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright","The super Cleveland Heep finds a woman swimming in the swimming pool of the condominium during the night; he slips, hits his head on the floor and faints in the water, and she rescues him. He discloses that she is a ""Narf"" called Story, a character of bedtime stories, that is chased by a ""Scrunt"" and she needs to return to her Blue World with an eagle. Cleveland convinces the tenants to help and protect Story.",English,United States,10 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMjEyNTc0NTk5M15BMl5BanBnXkFtZTcwMDE5NzkyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.5,"107,409",tt0452637,movie,N/A,"$42,285,169",N/A,N/A,True,CINE.pdf,
Kandahar,2023,R,26 May 2023,119 min,"Action, Drama, Thriller",Ric Roman Waugh,Mitchell LaFortune,"Tom Rhys Harries, Farhad Bagheri, Gerard Butler",A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"English, Persian, Arabic","United States, Saudi Arabia",N/A,https://m.media-amazon.com/images/M/MV5BOTQ5NTlkZTctODdmMi00Nzc1LWI0NTMtYmY0MDhjZTBkYjI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.1,"45,258",tt5761544,movie,N/A,"$4,813,132",N/A,N/A,True,CINE.pdf,
Karma,2025–,TV-MA,04 Apr 2025,N/A,"Crime, Drama, Thriller",N/A,N/A,"Park Hae-soo, Shin Min-a, Lee Kwang-soo","Bound by their harrowing destinies, a physician plagued by nightmares, a man shaken after his world was unexpectedly disrupted and a debtor drowning in private loans become caught in inescapable circumstances.",Korean,South Korea,4 nominations total,https://m.media-amazon.com/images/M/MV5BM2MxOWNmOTUtM2U1MS00MmViLTg5NjgtYmM5YmQxOWM0NjRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"6,391",tt29921070,series,,,,,True,CINE.pdf,1
Lantana,2001,R,08 Mar 2002,121 min,"Drama, Mystery, Romance",Ray Lawrence,Andrew Bovell,"Anthony LaPaglia, Geoffrey Rush, Rachael Blake","The intertwined stories of a loosely tied set of mostly emotionally damaged individuals in Sydney are told. Police detective Leon Zat and his wife Sonja Zat probably still love each other but have not stated to each other the problems that have invaded their marriage. Those problems not only affect their relationship, but also the way they parent their two teenage sons. Leon's single partner, Detective Claudia Weis, can probably most clearly see those problems, but is not equipped to be a good informal counselor to him in she considering the eye contact with another regular at the diner she frequents as being a somewhat committed relationship. A bundle of repressed emotions, Leon vents through mostly inappropriate acts of aggression, and having just embarked in an extramarital affair with Jane O'May, the recently separated woman in the same salsa dance class as him and Sonja. Jane initiated that separation from her husband, Pete O'May, in coming to the realization one day that she no longer loved him for whatever reason. Jane still craves human connection, she who may view her affair with Leon differently than him. The O'Mays' marital problems affect their next door neighbors, Nik and Paula D'Amato, who are friends with both and do not want to betray one in helping the other. Nik and Paula are outwardly happy despite their financial problems, with unemployed Nik looking after their three preschool age children while Paula works double shifts to put food on the table. Regardless, Nik still needs his respite away from that role as stay-at-home dad. Sonja's emotional outlet is being in therapy with Dr. Valerie Somers, something that she has not told Leon. Valerie is overcoming her own grief in her then eleven year old daughter, Eleanor Knox, having been found murdered eighteen months ago. While she wrote a just published book about Eleanor as a process to deal with her grief, Valerie's husband, law professor John Knox, quietly says he will do anything to support her. The murder has undoubtedly affected their marriage in a certain emotional and physical distance having formed between them. Among Valerie's clients is gay Patrick Phelan, who is dealing with the extramarital affair he is having with a man in a heterosexual marriage. Valerie's own problems with John affect the way she deals with Patrick, who can see her dislike of him but may not understand the full extent of the reason. These collective stories become even more intertwined when one within this collective goes missing, foul play suspected. What happens in the investigation is affected by the emotional issues each of the players is dealing with beyond the fact of that person being missing.","English, Spanish","Australia, Germany",36 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMGRmMjk5ZjgtNzEzMS00NTdkLWIzMzUtMmU3NzY3ZDhiODA4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.2,"20,647",tt0259393,movie,N/A,"$4,623,189",N/A,N/A,True,CINE.pdf,
The Redemption: Kickboxer 5,1995,R,01 Aug 1995,87 min,"Action, Drama, Thriller",Kristine Peterson,Rick Filon,"Mark Dacascos, James Ryan, Geoff Meed, Tony Caprari","Kickbox champion Matt Reeves witnesses the murder of his friend Johnny. When he investigates on the circumstances it appears that a Mr. Neegal in South Africa has founded a new kickbox association and does not leave international champions much of a chance. Johnny had to pay with his life when he did not want to join. Neegal seems to kill everybody who is in his way. Matt is on his own now, but suddenly finds an unexpected ally.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNDcwODk2MF5BMl5BanBnXkFtZTcwMTY2MjU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,"1,425",tt0110256,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Le garde du corps,2003,N/A,N/A,15 min,Short,Sandrine Dumas,Sandrine Dumas,"Morgane Montoriol, Martin Buisson, Sophie Borgeaud","Pierre, twelve years old, no longer understands anything about Alex, his fifteen-year-old sister. She keeps him secret, she changes. So he spies on her all the time. One night when his sister hides, he decides to follow her withou...",French,France,1 win,https://m.media-amazon.com/images/M/MV5BOWE3ODhjMjEtNWQ0Yi00MDUwLWE3MjEtMzliOTU3YWY3NWQyXkEyXkFqcGdeQXVyOTE3NDAzMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,9,tt0792967,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Limbo,1999,R,04 Jun 1999,126 min,"Adventure, Drama, Thriller",John Sayles,John Sayles,"David Strathairn, Mary Elizabeth Mastrantonio, Vanessa Martinez","Limbo tells the story of people trying to reinvent themselves in the Southeastern islands of Alaska. The story revolves around Joe Gastineau, a fisherman traumatised by an accident at sea years before, singer Donna de Angelo and her disaffected daughter Noelle who come into Joe's life. When Joe's fast-talking half-brother Bobby returns to town and asks Joe for a favor, the lives of the characters are changed forever.",English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BN2JmODgyMTktOGE5ZS00MzY4LThhZDYtYzYzNmUyNzIzNDlkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.0,"6,522",tt0164085,movie,N/A,"$2,160,710",Green/Renzi,N/A,True,CINE.pdf,
Kids Return,1996,N/A,27 Jul 1996,107 min,"Crime, Drama, Sport",Takeshi Kitano,Takeshi Kitano,"Ken Kaneko, Masanobu Andô, Leo Morimoto","Two buddies visit the schoolyard of the high school they used to attend, and remember their young and dumb days. They used to be the bullies in the school, until they find their own ways of life; one as a boxer, and the other as a member of the yakuza.",Japanese,Japan,14 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDlkZGQyNDQtMDJkMC00NTI2LWEwZjQtMmFkZGIyMTVjNTc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"7,162",tt0116767,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lo imposible,2013,N/A,30 Jan 2013,N/A,"Short, Comedy",Jesús Martínez Nota,Jesús Martínez Nota,"Antonio Albujer, Cristina Jiménez, Jimmy Jiménez",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BYTVhY2FmZDktZGYxOC00MTNmLThmN2UtNWQ5ZGYwNzRhNTQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,17,tt2674848,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lo que el viento se llevó,1980,N/A,N/A,N/A,"Documentary, Short",Santiago Álvarez,N/A,N/A,N/A,Spanish,Cuba,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,9,tt0151373,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lejos del cielo,1950,N/A,N/A,N/A,N/A,Catrano Catrani,"Tulio Demicheli, Ulises Petit de Murat","Gregorio Cicarelli, Golde Flami, Santiago Gómez Cou",N/A,Spanish,Argentina,N/A,N/A,[],N/A,N/A,6,tt0183398,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
London Boulevard,2010,R,26 Nov 2010,103 min,"Crime, Drama",William Monahan,"William Monahan, Ken Bruen","Colin Farrell, Keira Knightley, Ray Winstone","Fresh out of prison, Mitchel wants nothing to do with crime but accepts a kip from Billy, a marginal grafter, and accompanies Billy on rent collection trips. He's also old school, wanting revenge on two youths for assaulting a mendicant he's befriended. He's got a strung-out sister to protect, and he's offered a job protecting a famous actress from paparazzi. The plot lines join when Michael finds himself attracted to the actress and Billy's Mob boss, Gant, finds ways to force Michael work for him. He also warns Michael off revenge against the assailants of his friend. What are Michael's options: is there any way to avoid Gant, protect his sister, and find a path to love?",English,"United States, United Kingdom",1 nomination total,https://m.media-amazon.com/images/M/MV5BMjA1OTk2NTI4NF5BMl5BanBnXkFtZTcwOTA5NTE5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.2,"51,661",tt1213648,movie,N/A,"$16,075",N/A,N/A,True,CINE.pdf,
Love the Coopers,2015,PG-13,13 Nov 2015,107 min,"Comedy, Fantasy, Romance",Jessie Nelson,Steven Rogers,"Steve Martin, Diane Keaton, John Goodman","When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4NTkyODk4NF5BMl5BanBnXkFtZTgwNjY0NzkxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.8,"28,112",tt2279339,movie,N/A,"$26,302,731",N/A,N/A,True,CINE.pdf,
Luces de la noche,1998,N/A,29 May 1998,90 min,"Drama, Romance",Sergio Muñoz,Xavier Robles,"Héctor Bonilla, Helena Rojo, Demián Bichir","Eduardo, an aged judge, is being retired. With all his time now available he reads old papers and letters. He then finds the photograph of the singer Tina, his love of younger years. He decides to search for her and then discovers her fate, that of her husband and child.",Spanish,Mexico,10 nominations,https://m.media-amazon.com/images/M/MV5BMTk1NDUxMDMzNV5BMl5BanBnXkFtZTcwMjc3NTQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,15,tt0110404,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lucía,2007,N/A,N/A,4 min,"Animation, Short","Niles Atallah, Joaquín Cociña, Cristóbal León",N/A,Paula Florencia Navarrete,Lucía remembers the summer when she fell in love with Luis and her fear of the dark.,Spanish,Chile,N/A,https://m.media-amazon.com/images/M/MV5BZDE2YThkZmYtZjg2Ny00ZTIyLWFjOTUtZTM3YWViNDIwMTA5XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,98,tt2950564,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
DVD Extra-Making of Lucia y El Sexo,2001,N/A,28 Aug 2001,N/A,Short,N/A,Julio Medem,"Javier Cámara, Daniel Freire, Tristán Ulloa",N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt16492788,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lutero en España: La reforma invisible,2017,N/A,N/A,N/A,N/A,Pepa Ramos,Pepa Ramos,N/A,N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt7549162,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Lluvia roja,1950,TV-14,26 Jan 1950,97 min,"Adventure, Drama, History",René Cardona,"Jesus Goytortua, Mauricio Magdaleno","Jorge Negrete, Elsa Aguirre, Rodolfo Landa","El coronel Montero mata a un hombre, lo cual desencadena una serie de eventos, muertes y represalias en el México de 1923. El pueblo quiere venganza, y Montero hará lo posible por proteger a su querida Elisa, quien lo ama a pesar de sus crimenes.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BOWQ4MmM3NzktNGM5OS00NmZiLTk1MTUtMjlhODQzZGJlMjZmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,40,tt0251187,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Luz en reposo,2002,N/A,N/A,10 min,"Drama, Short, Thriller",Roberto Bolado,Roberto Bolado,"Idalmis Del Risco, Erika de la Llave, Jose Stefani",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0438906,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
M. Butterfly,1993,R,01 Oct 1993,101 min,"Drama, Romance",David Cronenberg,David Henry Hwang,"Jeremy Irons, John Lone, Barbara Sukowa","During the Cultural Revolution in China in the mid-1960s, a French diplomat falls in love with a singer in the Beijing Opera. Interwoven with allusions to the Puccini opera ""Madama Butterfly"", a story of love and betrayal unfolds.","English, Chinese, French, Italian","United States, Canada",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNWIyN2Q4NWMtNzFiMS00NDRiLTk2Y2QtNzg1MGFiOGQ1NDgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.7,"11,476",tt0107468,movie,N/A,"$1,498,795",N/A,N/A,True,CINE.pdf,
