Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
Kiki's Delivery Service,1989,G,20 Dec 1990,103 min,"Animation, Family, Fantasy",Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki","Minami Takayama, Rei Sakuma, Mieko Nobusawa","This is the story of a young witch, named Kiki who is now 13 years old. But she is still a little green and plenty headstrong, but also resourceful, imaginative, and determined. With her trusty wisp of a talking cat named Jiji by her side she's ready to take on the world, or at least the quaintly European seaside village she's chosen as her new home.","Japanese, English",Japan,4 wins total,https://m.media-amazon.com/images/M/MV5BOTFhYWI1NGUtZWFhZS00MTdkLWIzZTItMDBhNWNiZDNlMjYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.8,"185,670",tt0097814,movie,08 May 2007,"$1,004,057",N/A,N/A,True,Kiki :entregas a domicilio,
Green Lantern,2011,PG-13,17 Jun 2011,114 min,"Action, Adventure, Sci-Fi",Martin Campbell,"Greg Berlanti, Michael Green, Marc Guggenheim","Ryan Reynolds, Blake Lively, Peter Sarsgaard","In a mysterious universe, the Green Lantern Corps, an elite defense force of peace and justice have existed for centuries. Reckless test pilot Hal Jordan acquires superhuman powers when he is chosen by the Ring, the willpower-fed source of power. Reluctantly at first, he takes on the challenge after the death of Abin Sur, the finest Green Lantern. Putting his self-doubts aside, and spurred on by his sense of duty and love for his beautiful, intellectually equal, colleague, Carol Ferris, he is soon called to defend mankind from Parallax, a powerful, evil being who feeds on fear. Hal Jordan is the universe's last chance, as many Green Lanterns have been killed and the Corps is weakened, and he might just be the right Green Lantern for the duty of keeping the world safe from harm.",English,United States,3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BOWVjZWJmZjEtMjgzZC00N2ZkLTk3Y2ItM2FkOGY3MjhlNzBmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.5,"307,536",tt1133985,movie,15 Nov 2013,"$116,601,172",De Line Pictures,N/A,True,Linterna verde,
My Neighbor Totoro,1988,G,13 Jul 1990,86 min,"Animation, Adventure, Comedy",Hayao Miyazaki,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto","Two young girls, 10-year-old Satsuki and her 4-year-old sister Mei, move into a house in the country with their father to be closer to their hospitalized mother. Satsuki and Mei discover that the nearby forest is inhabited by magical creatures called Totoros (pronounced toe-toe-ro). They soon befriend these Totoros, and have several magical adventures.",Japanese,Japan,5 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.1,"425,325",tt0096283,movie,N/A,"$2,250,213",N/A,N/A,True,Mi vecino Totoro,
Necessary Evil: Super-Villains of DC Comics,2013,TV-14,01 Jul 2020,99 min,Documentary,"Scott Devine, J.M. Kenny","Scott Devine, Jack Mulligan","Christopher Lee, Zack Snyder, Marv Wolfman","In this new documentary film, the malevolent, sometimes charismatic figures from DC Comics' hallowed rogues' gallery will be explored in depth, featuring interviews with the famed creators, storytellers and those who have crafted the personalities and profiles of many of the most notorious villains in comic book history.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWY2OGZlZTUtNGIwYS00N2EyLTgyY2QtY2U5YzJkNjY3OTVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,351",tt3033478,movie,N/A,N/A,N/A,N/A,True,ecessary evil,
Wolf Children,2012,PG,21 Jul 2012,117 min,"Animation, Drama, Family",Mamoru Hosoda,"Mamoru Hosoda, Satoko Okudera","Aoi Miyazaki, Takao Osawa, Haru Kuroki","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Japanese,Japan,19 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMDc4MTk0ZTEtMWNiMC00MTM3LWFmOTQtMDAwMjQ2MjhiNTcxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,8.1,"54,215",tt2140203,movie,N/A,"$258,252",N/A,N/A,True,"""iños lobo , Los""",
Son of Batman,2014,PG-13,22 Apr 2014,74 min,"Animation, Action, Adventure",Ethan Spaulding,"Bob Kane, Grant Morrison, Andy Kubert","Jason O'Mara, Stuart Allan, Thomas Gibson","Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group the League of Assassins.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZTVhZGUxMmEtNDdlMi00MTA5LTgxNjctNGJmNDBmYTQ5YTIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.7,"32,998",tt3139072,movie,N/A,N/A,N/A,N/A,True,"""hijo de Batman, El""",
Only Yesterday,1991,PG,26 Feb 2016,119 min,"Animation, Drama, Romance",Isao Takahata,"Hotaru Okamoto, Yuuko Tone, Isao Takahata","Miki Imai, Toshirô Yanagiba, Yoko Honna",A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,"Japanese, Bulgarian","Japan, United States",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5NjI2MjQxMl5BMl5BanBnXkFtZTgwMDA2MzM2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.6,"41,804",tt0102587,movie,N/A,"$453,243",N/A,N/A,True,Recuerdos del ayer,
Resident Evil: Damnation,2012,R,27 Oct 2012,100 min,"Animation, Action, Horror",Makoto Kamiya,"Shotaro Suga, Hideki Kamiya, Noboru Sugimura","Matthew Mercer, Dave Wittenberg, Wendee Lee","United States Special Agent Leon S. Kennedy sneaks into a small Eastern European country to verify rumors that Bio Organic Weapons (B.O.W.s) are being used in war. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the B.O.W.s.",English,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMWNjOTQzY2ItNzE0My00MGFlLWFkOGEtOTRhMDAwMDlhMmFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.4,"23,537",tt1753496,movie,N/A,N/A,N/A,N/A,True,Resident Evil :infierno,
The Wind Rises,2013,PG-13,21 Feb 2014,126 min,"Animation, Biography, Drama",Hayao Miyazaki,Hayao Miyazaki,"Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima","Jiro dreams of flying and designing beautiful airplanes, inspired by the famous Italian aeronautical designer Caproni. Nearsighted from a young age and unable to be a pilot, Jiro joins a major Japanese engineering company in 1927 and becomes one of the world's most innovative and accomplished airplane designers. The film chronicles much of his life, depicting key historical events, including the Great Kanto Earthquake of 1923, the Great Depression, the tuberculosis epidemic and Japan's plunge into war. Jiro meets and falls in love with Nahoko, and grows and cherishes his friendship with his colleague Honjo.","Japanese, German, Italian, French",Japan,Nominated for 1 Oscar. 26 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.8,"111,654",tt2013293,movie,N/A,"$5,209,580",N/A,N/A,True,Se levanta el viento,
Justice League: Crisis on Two Earths,2010,PG-13,23 Feb 2010,75 min,"Animation, Action, Fantasy, Sci-Fi","Sam Liu, Lauren Montgomery","Dwayne McDuffie, Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Bob Kane (character created by: Batman), William Moulton Marston (character created by: Wonder Woman)","William Baldwin, Mark Harmon, Chris Noth, Gina Torres",A good version of Lex Luthor from a parallel Earth comes to the Justice League's dimension for help to fight their evil counterparts.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzg0ODZjNjUtNmVhZi00NTYxLWExNWMtMWI3MDFiMjhiNjc2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"25,087",tt1494772,movie,N/A,N/A,N/A,N/A,True,La liga de la justicia :crisis en dos...,
You're Missing the Point,1940,Not Rated,N/A,112 min,Comedy,Juan Bustillo Oro,"Juan Bustillo Oro, Humberto Gómez Landero","Cantinflas, Joaquín Pardavé, Sara García","The boyfriend (Cantinflas) of the servant of a rich industrial man, gets into the house in order to kill a mad dog. Suddenly this man appears so the servant tells him that Cantinflas is his wife's brother (Leonardo), who had been lost for years. The rich man then remembers that his father in law's testament could only be paid when all brothers get together, so treats Cantinflas, a real bum, as a king.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNGQ1NmFlOWQtZmMxZC00ZDM2LTgyMjctZDM3NjljYzU2YWVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"1,579",tt0032186,movie,N/A,N/A,N/A,N/A,True,Ahí esta el detalle,
Spirited Away,2001,PG,28 Mar 2003,124 min,"Animation, Adventure, Family",Hayao Miyazaki,Hayao Miyazaki,"Miyu Irino, Rumi Hiiragi, Mari Natsuki","Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world.","Japanese, English","Japan, United States",Won 1 Oscar. 58 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.6,"954,145",tt0245429,movie,N/A,"$14,821,254",N/A,N/A,True,El viaje de Chihiro,
Whisper of the Heart,1995,G,13 Dec 1996,111 min,"Animation, Drama, Family",Yoshifumi Kondô,"Aoi Hiiragi, Hayao Miyazaki","Yoko Honna, Issei Takahashi, Takashi Tachibana","A young Japanese middle school girl finds that all the books she chooses in the library have been previously checked out by the same boy. Later she meets a very infuriating fellow... could it be her ""friend"" from the library? The boy's grandfather has a violin sales and service shop. The boy wants to be a violin maker like his grandfather.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZWVlOGNlYjgtYWE4Yi00MjdiLWE1MTEtZTRmNzI1ODk5NzMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.8,"82,190",tt0113824,movie,N/A,"$498,156",N/A,N/A,True,Susurros del corazón,
Herod's Law,1999,R,18 Feb 2000,123 min,"Comedy, Crime, Drama",Luis Estrada,"Luis Estrada, Vicente Leñero, Fernando Javier León Rodríguez","Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova","After the corrupt former Mayor is killed by the peasants, poor janitor Juan Vargas is appointed new Mayor of a desert town in central Mexico. Although he tries to bring the motto of the ruling party to town (modernity, peace and progress) he realizes soon that there's nothing to do against corruption... except to become corrupt. Step by step, helped by his pistol, Juan Vargas becomes the law and the worst Major in the town's history.","Spanish, English, Nahuatl",Mexico,21 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMWM0NmM0MGQtZTk4NC00N2VmLWJiNmUtMDJjYzMwZmMzMDQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.8,"7,295",tt0221344,movie,N/A,"$52,000",N/A,N/A,True,"""ley de Herodes , La""",
Mexico: The Frozen Revolution,1971,N/A,10 May 1973,65 min,Documentary,Raymundo Gleyzer,Raymundo Gleyzer,"Luis Echeverria, Paul Leduc","A thorough analysis of the social- politics of Mexico, within the historical context of the Mexican Revolution reality. Includes footage of the 1910s, interviews with farmers, politicians, intellectuals, middle class, trade and unionists.",Spanish,"Argentina, United States",1 win,https://m.media-amazon.com/images/M/MV5BYzIzMzJlMDAtMzI1Ni00NTI4LTk5NGQtNDNmZmY1NmYzOGUwXkEyXkFqcGdeQXVyMjQ0NzgwNzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,78,tt0128344,movie,N/A,N/A,N/A,N/A,True,"""México, la revolución congelada""",
The Realm of Fortune,1986,N/A,28 Nov 1986,130 min,Drama,Arturo Ripstein,"Juan Rulfo, Paz Alicia Garciadiego","Ernesto Gómez Cruz, Blanca Guerra, Alejandro Parodi","A very poor and handicaped man, lives in a small town in Mexico with his mother. He works announcing things along the town (""The priest lost his cow, if someone sees it ...""). He is very interested in the cock fightigs. One day a man gives him a looser cock, thinking to give him something to eat, but instead he takes care of the animal and it becomes a winner cock. He begins to win some money. La Caponera, a very good looking singer, erlier avoided him but now she uses her coquetry to gain some drinks. He thinks she is his talisman so she marries her when he becomes rich, taking her apart from the show-bizz, so she begins to feel very unhappy.",Spanish,Mexico,13 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmEwNzgxM2EtNmFjYS00NjEwLWI3MGItNDkzM2EzNTRmN2JiXkEyXkFqcGdeQXVyMTIwMDE2OTU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,480,tt0091261,movie,N/A,N/A,N/A,N/A,True,"""imperio de la fortuna, La""",
Grave of the Fireflies,1988,Not Rated,26 Jul 1989,88 min,"Animation, Drama, War",Isao Takahata,"Akiyuki Nosaka, Isao Takahata","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi","The story of Seita and Setsuko, two young Japanese siblings, living in the declining days of World War II. When an American firebombing separates the two children from their parents, the two siblings must rely completely on one another while they struggle to fight for their survival.",Japanese,Japan,3 wins total,https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.5,"378,550",tt0095327,movie,N/A,"$516,962",N/A,N/A,True,La tumba de las luciérnagas,
Fantastic Beasts and Where to Find Them,2016,PG-13,18 Nov 2016,132 min,"Adventure, Family, Fantasy",David Yates,J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol","In mid-1920s New York, Newt Scamander, a British young activist wizard, arrives in the city, holding a mysterious leather suitcase that shelters diverse and magical creatures that exist among us. Amid an already fragile equilibrium of secrecy, and the increasing disasters ascribed to the dark wizard, Gellert Grindelwald, Newt's precious suitcase goes missing, and to make matters worse, several creatures manage to escape. Before long, this unforeseen complication catches Senior Auror Percival Graves' attention who targets Newt, against the backdrop of an invisible, devastating, and utterly unpredictable menace that still wreaks havoc on 5th Avenue. In the end, is there a hidden agenda behind Graves' intentions? Moreover, what will happen to the remaining fantastic beasts that are still on the loose?","English, Central Khmer","United Kingdom, United States",Won 1 Oscar. 15 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.2,"537,711",tt3183660,movie,N/A,"$234,037,575",N/A,N/A,True,Animales fantásticos,
Inside Out,2015,PG,19 Jun 2015,95 min,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen, Meg LeFauve","Amy Poehler, Bill Hader, Lewis Black","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","English, Portuguese, Latvian",United States,Won 1 Oscar. 99 wins & 118 nominations total,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.1,"905,131",tt2096673,movie,N/A,"$356,461,711",N/A,N/A,True,Intensa mente,
The Edukators,2004,R,25 Nov 2004,127 min,"Drama, Romance",Hans Weingartner,"Katharina Held, Hans Weingartner","Daniel Brühl, Julia Jentsch, Stipe Erceg","Berlin student Jule is hopelessly indebted from an accident she caused, uninsuredly hitting a rich businessman's limousine. Evicted from her flat, she moves in with her boyfriend Peter and soon finds out that he and his flatmate Jan spend their nights breaking into luxurious mansions. Instead of stealing or vandalizing, though, they are carefully and ornately rearranging furniture and valuables and leaving obscure messages. Jule convinces Jan, who has a crush on her, to pay a visit to her creditor's villa.","German, English","Germany, Austria",11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q2NDMzMjAtMTc4My00NTY4LTgxNDktYmVkNWY0ZTRjYTc5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.4,"32,621",tt0408777,movie,N/A,"$175,493",N/A,N/A,True,"""edukadores, Los""",
A Thousand Clouds of Peace,2003,Not Rated,02 Apr 2004,83 min,"Drama, Romance",Julián Hernández,Julián Hernández,"Juan Carlos Ortuño, Juan Carlos Torres, Salvador Alvarez","Gerardo, a 17-year old guy has just finished his relationship with Bruno and starts wandering hopeless through the streets of the city. In his wandering he's tortured by images: each masculine body he sees reminds him of his lover. Gerardo is determined to keep what's left of his dying love. The only comfort he has is a letter that Bruno left him with his boss.","Spanish, English",Mexico,5 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWJhYWY2MTgtM2NjMi00OWY3LWE0ZmUtNjQxODU3ODNhZDM3XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,5.5,521,tt0358590,movie,N/A,"$48,782",N/A,N/A,True,Mil nubes de paz cercan el cielo,
The Fault in Our Stars,2014,PG-13,06 Jun 2014,126 min,"Drama, Romance",Josh Boone,"Scott Neustadter, Michael H. Weber, John Green","Shailene Woodley, Ansel Elgort, Nat Wolff","Hazel and Augustus are two teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them on a journey. Their relationship is all the more miraculous, given that Hazel's other constant companion is an oxygen tank, Gus jokes about his prosthetic leg, and they meet and fall in love at a cancer support group.",English,United States,23 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYTA4ODg5YWUtYmZiYy00Y2M4LWE0NjEtODE5MzhkYmJmZGEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.6,"422,816",tt2582846,movie,N/A,"$124,872,350",N/A,N/A,True,Bajo la misma estrella,
Paper Towns,2015,PG-13,24 Jul 2015,109 min,"Adventure, Comedy, Drama",Jake Schreier,"Scott Neustadter, Michael H. Weber, John Green","Nat Wolff, Cara Delevingne, Austin Abrams","Adapted from the bestselling novel by author John Green, PAPER TOWNS is a coming-of-age story centering on Quentin and his enigmatic neighbor Margo, who loved mysteries so much she became one. After taking him on an all-night adventure through their hometown, Margo suddenly disappears - leaving behind cryptic clues for Quentin to decipher. The search leads Quentin and his quick-witted friends on an exhilarating adventure that is equal parts hilarious and moving. Ultimately, to track down Margo, Quentin must find a deeper understanding of true friendship - and true love.",English,United States,4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2ODQxODMwOF5BMl5BanBnXkFtZTgwNDY5NjY3NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"110,882",tt3622592,movie,N/A,"$32,000,304",N/A,N/A,True,Ciudades de papel,
"Batman: The Dark Knight Returns, Part 1",2012,PG-13,25 Sep 2012,76 min,"Animation, Action, Crime, Drama, Thriller",Jay Oliva,"Bob Kane (character created by: Batman), Frank Miller (comic book), Klaus Janson (comic book), Bob Goodman","Peter Weller, Ariel Winter, David Selby, Wade Williams","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMzIxMDkxNDM2M15BMl5BanBnXkFtZTcwMDA5ODY1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.0,"54,214",tt2313197,movie,N/A,N/A,N/A,N/A,True,Batman el caballero de la noche regresa,
LOL,2012,PG-13,01 Mar 2012,97 min,"Comedy, Drama, Romance",Lisa Azuelos,"Lisa Azuelos, Kamir Aïnouz, Nans Delgado","Miley Cyrus, Douglas Booth, Ashley Greene","In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown. Through hilarious and heartfelt moments between mother and daughter, LOL is a fresh coming-of-age story for modern times.","English, French, Ukrainian",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTA0MjI5ODA3MjReQTJeQWpwZ15BbWU3MDI1NTE3Njc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}]",N/A,4.4,"59,787",tt1592873,movie,N/A,N/A,N/A,N/A,True,LOL (Loughing out loud) [,
