Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle
Maleficent: Mistress of Evil,2019,PG,18 Oct 2019,119 min,"Adventure, Drama, Family",Joachim Rønning,"Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue","Angelina Jolie, Elle Fanning, Harris Dickinson","Five peaceful years have passed since the demise of the duplicitous monarch, King Stefan, in Maleficent (2014), and now, an unforeseen but joyous event is about to unite the mortal kingdom of Ulstead and the fairy-realm of the enchanted Moors. However, once more, odious treason stands in the way of true young love, as malicious envy, unbounded ambition and ignoble thoughts creep in the hearts of men. Now, two neighboring worlds find themselves divided by fear and prejudice, and, sadly, the impending union paves the way for an all-out confrontation. Suddenly, the magnificent winged sprite, Maleficent, and the lovely Princess Aurora are caught in the middle. Does love always end well?",English,"United Kingdom, Canada, United States, France",Nominated for 1 Oscar. 1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNTY4YjYwYzMtYTg1NC00ZmJiLTk0OTYtMWMzM2Y4Yzc5MDc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.6,"130,828",tt4777008,movie,N/A,"$113,929,605",N/A,N/A,True,Maléfica: dueña del mal
City Lights,1931,G,07 Mar 1931,87 min,"Comedy, Drama, Romance",Charles Chaplin,"Charles Chaplin, Harry Carr, Harry Crocker","Charles Chaplin, Virginia Cherrill, Florence Lee",A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,"None, English",United States,6 wins total,https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",99,8.5,"215,345",tt0021749,movie,N/A,"$19,181",N/A,N/A,True,LUCES DE LA CIUDAD
The Tale of The Princess Kaguya,2013,PG,23 Nov 2013,137 min,"Animation, Drama, Family",Isao Takahata,"Isao Takahata, Riko Sakaguchi","Chloë Grace Moretz, James Caan, Mary Steenburgen","An old man makes a living by selling bamboo. One day, he finds a princess in a bamboo. The princess is only the size of a finger. Her name is Kaguya. When Kaguya grows up, 5 men from prestigious families propose to her. Kaguya asks the men to find memorable marriage gifts for her, but the 5 men are unable to find what Kaguya wants. Then, the Emperor of Japan proposes to her.",Japanese,Japan,Nominated for 1 Oscar. 13 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwODI0MzEwOF5BMl5BanBnXkFtZTgwNjkyNTEwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.0,"60,590",tt2576852,movie,N/A,"$974,913",N/A,N/A,True,"""LEYENDA DE LA PRINCESA KAGUYA,La"""
Good Will Hunting,1997,R,09 Jan 1998,126 min,"Drama, Romance",Gus Van Sant,"Matt Damon, Ben Affleck","Robin Williams, Matt Damon, Ben Affleck","A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.",English,United States,Won 2 Oscars. 25 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,8.3,"1,186,230",tt0119217,movie,N/A,"$138,433,435",N/A,N/A,True,MENTE INDOMABLE
My Neighbor Totoro,1988,G,13 Jul 1990,86 min,"Animation, Adventure, Comedy",Hayao Miyazaki,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto","Two young girls, 10-year-old Satsuki and her 4-year-old sister Mei, move into a house in the country with their father to be closer to their hospitalized mother. Satsuki and Mei discover that the nearby forest is inhabited by magical creatures called Totoros (pronounced toe-toe-ro). They soon befriend these Totoros, and have several magical adventures.",Japanese,Japan,5 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.1,"425,325",tt0096283,movie,N/A,"$2,250,213",N/A,N/A,True,MI VECINO TOTORO
Tomorrow Never Dies,1997,PG-13,19 Dec 1997,119 min,"Action, Adventure, Thriller",Roger Spottiswoode,"Bruce Feirstein, Ian Fleming","Pierce Brosnan, Jonathan Pryce, Michelle Yeoh","Agent James Bond 007 (Pierce Brosnan) is on a mission which includes a media tycoon, his former lover and a Chinese Agent. Elliot Carver (Jonathan Pryce) wants to complete his global media empire, but in order for this to work, he must achieve broadcasting rights in China. Carver wants to start up World War III by starting a confrontation over British and Chinese waters. Bond gains the help of Wai Lin (Michelle Yeoh) on his quest to stop him, but how will Bond feel when he meets up with his former lover, Paris (Teri Hatcher), who is now Carver's wife.","English, German, Danish, Mandarin, Cantonese","United Kingdom, United States, Spain",6 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1MTk2ODQxNV5BMl5BanBnXkFtZTcwOTY5MDg0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.5,"213,704",tt0120347,movie,N/A,"$125,304,276",N/A,N/A,True,"""Mañana Nunca muere, El"""
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,10 Dec 2010,113 min,"Adventure, Family, Fantasy",Michael Apted,"Christopher Markus, Stephen McFeely, Michael Petroni","Ben Barnes, Skandar Keynes, Georgie Henley","Lucy and Edmund Pevensie are stranded in Cambridge, living in the house of their obnoxious cousin Eustace, while the grown-ups Susan and Peter are living in the USA with their parents. When a painting of a ship sailing on the sea of Narnia overflows water in their room, Lucy, Edmund and Eustace are transported to the ocean of Narnia and rescued by King Caspian and the crew of the ship The Dawn Treader. Caspian explains that Narnia has been in peace for three years but before he took his throne back, his uncle tried to kill the seven lords of Telmar, who were the closest and most loyal friends of his father. They fled to The Lone Island and no one has ever heard anything about them. Now Caspian is seeking out the lords of Telmar with his Captain Drinian, the talking mouse Reepicheep and his loyal men. Soon, they discover that an evil form of green mist is threatening Narnia and the siblings and their cousin join Caspian in a quest to retrieve the seven swords of the seven lords of Telmar to save Narnia from evil.",English,"United States, United Kingdom, Canada, Australia, Germany",2 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ2YTdmMmEtZGRiZS00MTlmLThiMGMtYmM4MmRkMjkwZDNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.3,"176,567",tt0980970,movie,N/A,"$104,386,950",N/A,N/A,True,ARNIA 3D
The Kids Are All Right,2010,R,30 Jul 2010,106 min,"Comedy, Drama, Romance",Lisa Cholodenko,"Lisa Cholodenko, Stuart Blumberg","Annette Bening, Julianne Moore, Mark Ruffalo","Nic and Jules are in a long term, committed, loving but by no means perfect same-sex relationship. Nic, a physician, needs to wield what she believes is control, whereas Jules, under that control, is less self-assured. During their relationship, Jules has floundered in her ""nine to five"" life, sometimes trying to start a business - always unsuccessfully - or being the stay-at-home mom. She is currently trying to start a landscape design business. They have two teen-aged children, Joni (conceived by Nic) and Laser (by Jules). Although not exact replicas, each offspring does more closely resemble his/her biological mother in temperament. Joni and Laser are also half-siblings, having the same unknown sperm donor father. Shortly after Joni's eighteenth birthday and shortly before she plans to leave the house and head off to college, Laser, only fifteen and underage to do so, pleads with her to try and contact their sperm donor father. Somewhat reluctantly, she does. He is late thirty-something Paul, a co-op farmer and restaurateur. Despite his seemingly successful businesses, Paul has always shirked responsibility, most specifically in his personal life. After Joni and Laser meet with Paul, Nic and Jules learn what their children have done and, although they don't want Paul infiltrating their lives, want to meet him - especially as Joni and Laser seem to want to maintain some sort of relationship with him. As Paul's relationship with the entire family grows (which includes his hiring Jules to design and construct his backyard), they have an effect on what he wants in life. In turn, he affects their family dynamic as well as each person's relationships outside of it.",English,"United States, France",Nominated for 4 Oscars. 29 wins & 133 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4NTMwNDg5MF5BMl5BanBnXkFtZTcwNDY2ODE0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.0,"137,167",tt0842926,movie,N/A,"$20,811,365",N/A,N/A,True,LOS NIÑOS ESTÁN BIEN
Oz the Great and Powerful,2013,PG,08 Mar 2013,130 min,"Adventure, Family, Fantasy",Sam Raimi,"Mitchell Kapner, David Lindsay-Abaire, L. Frank Baum","James Franco, Michelle Williams, Rachel Weisz","Oscar Diggs (James Franco), a small-time circus magician with dubious ethics, is hurled away from dusty Kansas to the vibrant Land of Oz. At first he thinks he's hit the jackpot-fame and fortune are his for the taking. That all changes, however, when he meets three witches, Theodora (Mila Kunis), Evanora (Rachel Weisz), and Glinda (Michelle Williams), who are not convinced he is the great wizard everyone's been expecting. Reluctantly drawn into the epic problems facing the Land of Oz and its inhabitants, Oscar must find out who is good and who is evil before it is too late. Putting his magical arts to use through illusion, ingenuity-and even a bit of wizardry-Oscar transforms himself not only into the great and powerful Wizard of Oz but into a better man as well.",English,United States,6 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BNDRlOTNlMWMtM2FlMi00MzNiLTk1NzEtNjc3Njg1M2NkNmY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.3,"220,679",tt1623205,movie,N/A,"$234,911,825",N/A,N/A,True,"""OZ, EL PODEROSO"""
The English Patient,1996,R,06 Dec 1996,162 min,"Drama, Romance, War",Anthony Minghella,"Michael Ondaatje, Anthony Minghella","Ralph Fiennes, Juliette Binoche, Willem Dafoe","October 1944 in war torn Italy. Hana (Juliette Binoche), a French-Canadian nurse working in a mobile army medical unit, feels like everything she loves in life dies on her. Because of the difficulty traveling and the dangers, especially as the landscape is still heavily booby-trapped with mines, Hana volunteers to stay behind at a church to care solely for a dying semi-amnesiac patient, who is badly burned and disfigured. She agrees to catch up to the rest of the unit after he dies. All the patient remembers is that he is English, and that he is married. Their solitude is disrupted with the arrival at the church of fellow Canadian David Caravaggio (Willem Dafoe), part of the Intelligence Service, who is certain that he knows the patient as a man who cooperated with the Germans. Caravaggio believes that the patient's memory is largely intact, and that he is running away from his past, in part, or in its entirety. The patient does open up about his past, all surrounding his work as a cartographer in North Africa, which was interrupted by the war. He may not be running from his work as a spy for the Germans as Caravaggio believes, but rather the memory of an affair he had with married Katharine Clifton (Dame Kristin Scott Thomas), the love of his life, and the memory of a promise not totally fulfilled. Hana may also test her theory of her fates with love and death as she embarks on a relationship of her own with Kip Singh (Naveen Andrews), a Sikh from India, whose unit has camped on the now overgrown lawn of the church. Their work entails sweeping for and diffusing mines, the discovery of one such mine which had earlier saved her life.","English, German, Italian, Arabic","United States, United Kingdom",Won 9 Oscars. 62 wins & 78 nominations total,https://m.media-amazon.com/images/M/MV5BODg0NjdiN2UtZWY3MS00M2JmLTg1MDAtY2ZiNzNiMzAzYWFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.4,"212,643",tt0116209,movie,N/A,"$78,676,425",N/A,N/A,True,"""PACIENTE INGLES, EL"""
Lost in Afghanistan. To Return in Twenty Years.,2006,N/A,08 Feb 2006,52 min,Documentary,Rasim Poloskin,N/A,N/A,N/A,Russian,Russia,N/A,https://m.media-amazon.com/images/M/MV5BMzkyOGFjOTUtZTdjNC00MGYyLWEzYTMtMGQwNDU1ZDBiN2NlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt32579367,movie,N/A,N/A,N/A,N/A,True,PERDIDO EN AFGANISTÁN
Chronicle,2012,PG-13,03 Feb 2012,84 min,"Drama, Sci-Fi, Thriller",Josh Trank,"Max Landis, Josh Trank","Dane DeHaan, Alex Russell, Michael B. Jordan","The shy, lonely and outcast teenager Andrew Detmer is bullied and has no friends at high-school and lives with his abusive and alcoholic father Richard Detmer and his terminally ill mother Karen. Andrew buys a camera to film his everyday life. His cousin Matt Garetty drives him to school and invites Andrew to go to a party at night. Nearby they find a tunnel and suddenly acquire telekinetic abilities and Andrew becomes the most powerful. But he easily loses his temper and becomes dangerous while Matt tries to control him. When his mother needs a medicine and Andrew does not have enough money to buy it, his darker side overwhelms him and he becomes a menace.",English,United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMDBmYmExZDUtYWQxZS00MWI4LTkyZTQtYzIxNzg3NjJkZjZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.0,"276,134",tt1706593,movie,N/A,"$64,575,175",N/A,N/A,True,PODER SIN LÍMITES
The Other Guys,2010,PG-13,06 Aug 2010,107 min,"Action, Comedy, Crime",Adam McKay,"Adam McKay, Chris Henchy","Will Ferrell, Mark Wahlberg, Derek Jeter","Terry Hoitz's past mistakes in the line of duty and Allen Gamble's reluctance to take risks have landed them the roles of the ""Other Guys"", disgraced New York City police detectives relegated to filling out paperwork for cocky hero cops Danson and Highsmith. The mismatched duo must look past their differences when they take on a high-profile investigation of shady capitalist David Ershon and attempt to fill the shoes of the notoriously reckless officers they idolize.","English, Ukrainian",United States,3 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BODU1OTY5ZTYtNWQ0MC00ZWE1LTkyYjEtZTI2ODM1ZGE2MjBkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.7,"307,921",tt1386588,movie,N/A,"$119,219,978",N/A,N/A,True,POLICÍAS DE REPUESTO
Horrible Bosses,2011,R,08 Jul 2011,98 min,"Comedy, Crime",Seth Gordon,"Michael Markowitz, John Francis Daley, Jonathan Goldstein","Jason Bateman, Charlie Day, Jason Sudeikis","Nick hates his boss, mostly because he's expected to work from before sunrise to after sunset and his boss, Mr. Harken, calls him out for being a minute late and blackmails him so he can't quit. Dale hates his boss, Dr. Julia Harris, because she makes unwelcome sexual advances when he's about to get married. But Dale is on that pesky list of child-offenders so he can't quit. Kurt actually likes his job and his boss--well, up until his boss dies and the boss's coked-out, psychopathic son takes over. But who would be crazy enough to quit their jobs in such poor economic times? Instead, Nick, Dale, and Kurt drunkenly and hypothetically discuss how to kill their bosses, and before they know it, they've hired a murder consultant to help them pull off the three deeds.",English,United States,3 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNzYxNDI5Njc5NF5BMl5BanBnXkFtZTcwMDUxODE1NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.9,"486,136",tt1499658,movie,N/A,"$117,538,559",N/A,N/A,True,QUIERO MATAR A MI JEFE
Fast Five,2011,PG-13,29 Apr 2011,130 min,"Action, Crime, Thriller",Justin Lin,"Chris Morgan, Gary Scott Thompson","Vin Diesel, Paul Walker, Dwayne Johnson","Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. As they assemble their elite team of top racers, the unlikely allies know their only shot of getting out for good means confronting the corrupt businessman who wants them dead. But he's not the only one on their tail. Hard-nosed federal agent Luke Hobbs never misses his target. When he is assigned to track down Dom and Brian, he and his strike team launch an all-out assault to capture them. But as his men tear through Brazil, Hobbs learns he can't separate the good guys from the bad. Now, he must rely on his instincts to corner his prey... before someone else runs them down first.","English, Portuguese, Spanish, Italian, French","United States, Brazil, Japan",9 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.3,"430,221",tt1596343,movie,N/A,"$209,837,675",N/A,N/A,True,RÁPIDOS Y FURIOSOS 5IN CONTROL
Rosemary's Baby,1968,R,12 Jun 1968,137 min,"Drama, Horror",Roman Polanski,"Ira Levin, Roman Polanski","Mia Farrow, John Cassavetes, Ruth Gordon","Desiring to start their family, young Catholic homemaker Rosemary Woodhouse and her struggling-actor husband Guy move into The Bramford: New York City's iconic building that brims with unpleasant stories of obscure dwellers and ghastly occurrences. The young couple is soon befriended by their eccentric next-door neighbors, Roman and Minnie and Castevet; shortly afterward, Rosemary gets pregnant. However, little by little--as the inexperienced mother becomes systematically cut off from her circle of friends--alarming hints of a sinister, well-planned conspiracy start to emerge, enfolding timid Rosemary in a shroud of suspicion and mental agony. Why is everyone so conveniently eager to help? And why is Guy allowing it?",English,United States,Won 1 Oscar. 13 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNDlhMDI3OTQtNTBkYy00NWQ5LWJmNWEtZGQwYzZlMTQ4MDI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.0,"250,536",tt0063522,movie,N/A,N/A,N/A,N/A,True,ROSEMARY’S BABY
Guess Who,2005,PG-13,25 Mar 2005,105 min,"Comedy, Romance",Kevin Rodney Sullivan,"William Rose, David Ronn, Jay Scherick","Ashton Kutcher, Bernie Mac, Zoe Saldana","Percy and Marilyn are renewing their vows for their anniversary, and their daughter Theresa brings her boyfriend Simon for them to meet. Unbeknownst to her parents, the kids plan to announce their engagement during the weekend. The Jones family is Black; Theresa neglects to tell them Simon is White. Race complicates Percy's general mistrust of any boyfriend, so he instigates an investigation of Simon, discovering he's recently lost his job and hasn't told Theresa. Mistrust rears its ugly head, and in the process of Theresa and Simon's argument, Marilyn and Percy fall out. What can the men do to cross the divide between each other and between men and women? Will anyone be exchanging vows?",English,United States,16 nominations,https://m.media-amazon.com/images/M/MV5BNDBjMmI2MjgtMmVlNS00NzgxLTlmYjYtNWM5YzcxMGQwNjhhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.9,"46,556",tt0372237,movie,N/A,"$68,915,888",N/A,N/A,True,SABES QUIÉN VIENE?
Stolen,2012,R,06 Sep 2012,96 min,"Action, Crime, Thriller",Simon West,David Guggenheim,"Nicolas Cage, Malin Akerman, Josh Lucas","In New Orleans, the notorious bank thief and family man Will Montgomery steals $10m with his partners Vincent, Riley Jeffers and Hoyt. However, he has an argument with Vincent in the runaway and Hoyt leaves Will behind. He tries to flee but the FBI agent Tim Harlend organizes a manhunt and Will is captured, but he burns the stolen money to get rid of the evidence against him. Eight years later, Will leaves the prison and he goes to the house of his teenage daughter Alison Loeb, who has issues against him. Alison leaves Will alone in a coffee shop and takes a cab to go to a session with her shrink. However, a couple of minutes later, Will receives a phone call from Vincent, who is presumed dead, telling that he has abducted Alison and will kill her unless he receives the $10m of the last robbery. Now Will has twelve hours to find a way to rescue his daughter from the hands of the psychopath Vincent.","English, Swedish",United States,N/A,https://m.media-amazon.com/images/M/MV5BNzY0ODM1NzU0OV5BMl5BanBnXkFtZTcwNTExNjIyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.5,"47,223",tt1656186,movie,N/A,"$304,318",N/A,N/A,True,SECRETOS PELIGROSOS
The Wind Rises,2013,PG-13,21 Feb 2014,126 min,"Animation, Biography, Drama",Hayao Miyazaki,Hayao Miyazaki,"Hideaki Anno, Miori Takimoto, Hidetoshi Nishijima","Jiro dreams of flying and designing beautiful airplanes, inspired by the famous Italian aeronautical designer Caproni. Nearsighted from a young age and unable to be a pilot, Jiro joins a major Japanese engineering company in 1927 and becomes one of the world's most innovative and accomplished airplane designers. The film chronicles much of his life, depicting key historical events, including the Great Kanto Earthquake of 1923, the Great Depression, the tuberculosis epidemic and Japan's plunge into war. Jiro meets and falls in love with Nahoko, and grows and cherishes his friendship with his colleague Honjo.","Japanese, German, Italian, French",Japan,Nominated for 1 Oscar. 26 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.8,"111,654",tt2013293,movie,N/A,"$5,209,580",N/A,N/A,True,SE LEVANTA EL VIENTO
Saving Mr. Banks,2013,PG-13,20 Dec 2013,125 min,"Biography, Comedy, Drama",John Lee Hancock,"Kelly Marcel, Sue Smith","Emma Thompson, Tom Hanks, Annie Rose Buckley","When Walt Disney's (Tom Hanks') daughters begged him to make a movie of their favorite book, P.L. Travers' (Emma Thompson's) ""Mary Poppins"", he made them a promise - one that he didn't realize would take twenty years to keep. In his quest to obtain the rights, Walt comes up against a curmudgeonly, uncompromising writer who has absolutely no intention of letting her beloved magical nanny get mauled by the Hollywood machine. But, as the books stop selling and money grows short, Travers reluctantly agrees to go to Los Angeles, California to hear Disney's plans for the adaptation. For those two short weeks in 1961, Walt Disney pulls out all of the stops. Armed with imaginative storyboards and chirpy songs from the talented Richard M. Sherman (Jason Schwartzman) and Robert B. Sherman (B.J. Novak), Walt launches an all-out onslaught on P.L. Travers, but the prickly author doesn't budge. He soon begins to watch helplessly as Travers becomes increasingly immovable and the rights begin to move further away from his grasp. It is only when he reaches into his own childhood that Walt discovers the truth about the ghosts that haunt her, and together they set Mary Poppins free to ultimately make one of the most endearing movies in cinematic history.",English,"Australia, United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0MTQ3NzE4Nl5BMl5BanBnXkFtZTcwMzA4NDM5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.5,"174,675",tt2140373,movie,N/A,"$83,301,580",N/A,N/A,True,EL SUEÑO DE WALT
Dark Shadows,2012,PG-13,11 May 2012,113 min,"Comedy, Fantasy, Horror",Tim Burton,"Seth Grahame-Smith, John August, Dan Curtis","Johnny Depp, Michelle Pfeiffer, Eva Green","In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles.",English,"United States, Australia, United Kingdom",3 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjNiYWMxZjctMzEyZS00NDZmLTgxYmYtM2NmOGI0MmY3ZTJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.2,"291,971",tt1077368,movie,N/A,"$79,727,149",N/A,N/A,True,SOMBRAS TENEBROSAS
Extremely Loud & Incredibly Close,2011,PG-13,20 Jan 2012,129 min,"Adventure, Drama, Mystery",Stephen Daldry,"Eric Roth, Jonathan Safran Foer","Thomas Horn, Tom Hanks, Sandra Bullock","A troubled young boy, Oskar, is trying to cope with the loss of his father. Oskar starts lashing out at his mother and the world. Until a year later, he discovers a mysterious key in his father's belongings and embarks on a scavenger hunt to find the matching lock, just as he used to when his father was alive. On this journey he is bound to meet a lot of people and learn a lot about himself and his family, but will he ever find the lock?",English,United States,Nominated for 2 Oscars. 8 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNzYwMTE3NV5BMl5BanBnXkFtZTcwMDY2NzU4Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.9,"107,625",tt0477302,movie,N/A,"$31,847,881",N/A,N/A,True,Tan fuerte y tan cerca Extremely Loud &
The Loss of Sexual Innocence,1998,R,07 Jan 2000,106 min,Drama,Mike Figgis,"Mike Figgis, Bienchen Ohly","Julian Sands, Saffron Burrows, Stefano Dionisi","Non-linear film tells the sexual story of a film director from his life at age 5, 12 and 16, a man embarking on his first film in 1950s Tunisia, and finally to his current life. Along the way, as a teen, he has sexual exploits with an older woman, gets involved with an Italian couple in Tunisia that culminates in the killing of a local boy and the brutal revenge murder of the woman and, ultimately, is married to a cold woman.",English,United Kingdom,1 nomination total,https://m.media-amazon.com/images/M/MV5BZDZlZDk4MDgtYWVkYi00NTI1LWEzMmEtY2QyNjUyMjllOGFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.3,"3,483",tt0126859,movie,N/A,"$164,022",N/A,N/A,True,PÉRDIDA DE LA INOCENCIA
