Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
Ice Age,2002,PG,15 Mar 2002,81 min,"Animation, Adventure, Comedy","Chris Wedge, Carlos Saldanha","Michael Berg, Michael J. Wilson, Peter Ackerman","Denis Leary, John Leguizamo, Ray Romano","Back when the Earth was being overrun by glaciers, and animals were scurrying to save themselves from the upcoming Ice Age, a sloth named Sid, a woolly mammoth named Manny, and a saber-toothed tiger named Diego are forced to become unlikely heroes. The three reluctantly come together when they have to return a human child to its father while braving the deadly elements of the impending Ice Age.",English,United States,Nominated for 1 Oscar. 5 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMDBlYzU2OGMtOGJjNi00ZGZjLWIwNjMtYzdiZjkwYWNjZDljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.5,"560,233",tt0268380,movie,N/A,"$176,387,405",N/A,N/A,True,"""Era de hielo 1, La. solo en sala""",
Ice Age: The Meltdown,2006,PG,31 Mar 2006,91 min,"Animation, Adventure, Comedy",Carlos Saldanha,"Peter Gaulke, Gerry Swallow, Jim Hecht","Ray Romano, John Leguizamo, Denis Leary","Manny the woolly mammoth, Sid the sloth, Diego the saber-toothed tiger, and the hapless prehistoric squirrel/rat known as Scrat are still together and enjoying the perks of their now melting world. Manny may be ready to start a family, but nobody has seen another mammoth for a long time; Manny thinks he may be the last one. That is, until he miraculously finds Ellie, the only female mammoth left in the world. Their only problems: They can't stand each other--and Ellie somehow thinks she's a possum! Ellie comes with some excess baggage in the form of her two possum ""brothers""-- Crash and Eddie, a couple of daredevil pranksters and cocky, loud-mouthed troublemakers. Manny, Sid and Diego quickly learn that the warming climate has one major drawback: A huge glacial dam holding off oceans of water is about to break, threatening the entire valley. The only chance of survival lies at the other end of the valley. So our three heroes, along with Ellie, Crash and Eddie, form the most unlikely family--in any ""Age""-- as they embark on a mission across an ever-changing, increasingly dangerous landscape towards their salvation.",English,"United States, United Kingdom",8 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwODg3OTAxMl5BMl5BanBnXkFtZTcwMjg2NjYyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.8,"316,256",tt0438097,movie,N/A,"$195,330,621",N/A,N/A,True,"""Era del hielo 2, La . solo en sala""",
Lady and the Tramp,1955,G,22 Jun 1955,76 min,"Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ward Greene, Erdman Penner, Joe Rinaldi","Barbara Luddy, Larry Roberts, Peggy Lee","Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while. This turns out to be a bad move, as no dog is above the law.",English,United States,Nominated for 1 BAFTA Award3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA1NmQ2MTYtNzU0NC00NzBiLWJmZmQtM2FlNDViODk4OWEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"160,587",tt0048280,movie,N/A,"$93,602,326",N/A,N/A,True,"""Dama y el Vagabundo,La""",
Ella Enchanted,2004,PG,09 Apr 2004,96 min,"Comedy, Family, Fantasy",Tommy O'Haver,"Laurie Craig, Karen McCullah, Kirsten Smith","Anne Hathaway, Hugh Dancy, Cary Elwes","Based on Gail Carson Levine's award winning novel, this is the story of Ella, a young woman who was given a ""gift"" of obedience by a fairy named Lucinda. She must obey anything anyone tells her to do. When her mother passes away, she is cared for by her thoughtless and greedy father who remarries a loathsome woman with two treacherous daughters. This modern-day, fantasy Cinderella story features fairies, ogres and elves...as well as a hero in the guise of Prince Charmont, whom Ella falls in love with. Unlike Cinderella though, she must depend on herself and her intelligence to get her through her troubles and find Lucinda in order for her ""curse"" to be broken!",English,"Ireland, United Kingdom, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BMDhiYWE2YTQtYjgzNy00ZjlmLWFiZTctODBkNGIxZTJjOGNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.3,"80,202",tt0327679,movie,N/A,"$22,918,387",N/A,N/A,True,Ella está encantada,
Happily N'ever After 2: Snow White: Another Bite at the Apple,2009,TV-PG,02 Oct 2009,75 min,"Animation, Adventure, Comedy","Steven E. Gordon, Boyd Kirkland",Chris Denk,"G.K. Bowes, Cam Clarke, Doug Erholtz","Fairy tales collide when Mambo and Munk tip the scales of good and evil once again. This time Princess Snow White is a misguided teenager who'd rather have fun with friends Red Riding Hood, Goldilocks and Little Bo Peep than help peasants. When Snow White's father is matched up with Lady Vain - a scheming witch brewing to rule the kingdom - Snow White becomes a thorn in Lady Vain's side. Snow White is soon tricked by Lady Vain (with Rumpelstiltskin's help) into spreading vicious gossip about the townspeople, forcing her to flee. Through rebuilding the three little pigs' houses with the seven dwarves leading the way, Snow White learns the value of helping others. Only Snow White can foil her dad's wedding to stop Lady Vain. With Mambo and Munk in tow, Snow White proves she can rule the kingdom, while bringing balance back to the scales of good and evil.",English,"United States, Germany, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMGYzNjkxMmYtZmZjMi00NTA4LWE4ZWMtYWM0MzljOWQzZGIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,"2,112",tt1235837,movie,N/A,N/A,N/A,N/A,True,Colorin colorado este cuento se ha acabado,
How to Train Your Dragon 2,2014,PG,13 Jun 2014,102 min,"Animation, Action, Adventure",Dean DeBlois,"Dean DeBlois, Cressida Cowell","Jay Baruchel, Cate Blanchett, Gerard Butler","It's been five years since Hiccup and Toothless successfully united dragons and vikings on the island of Berk. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Now, Hiccup and Toothless must unite to stand up for what they believe while recognizing that only together do they have the power to change the future of both men and dragons.",English,"United States, India",Nominated for 1 Oscar. 15 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.8,"398,152",tt1646971,movie,N/A,"$177,002,924",N/A,N/A,True,"""Cómo entrenar a tu dragón, 2 How to train your...""",
Shark Tale,2004,PG,01 Oct 2004,90 min,"Animation, Adventure, Comedy","Bibo Bergeron, Vicky Jenson, Rob Letterman","Michael J. Wilson, Rob Letterman, Scott Aukerman","Will Smith, Robert De Niro, Renée Zellweger","The sea underworld is shaken up when the son of shark mob boss Don Lino (Robert De Niro) is found dead, and a young fish named Oscar (Will Smith) is found at the scene. Being a bottom feeder, Oscar takes advantage of the situation and makes himself look like he killed the finned mobster. Oscar soon comes to realize that his claim may have serious consequences.",English,United States,Nominated for 1 Oscar. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMTMxMjY0NzE2M15BMl5BanBnXkFtZTcwNTc3ODcyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.0,"211,362",tt0307453,movie,N/A,"$160,861,908",N/A,N/A,True,"""Espantatiburones, El""",
The Polar Express,2004,G,10 Nov 2004,100 min,"Animation, Adventure, Family",Robert Zemeckis,"Chris Van Allsburg, Robert Zemeckis, William Broyles Jr.","Tom Hanks, Chris Coppola, Michael Jeter","This is the story of a young hero boy on Christmas Eve who boards on a powerful magical train that's headed to the North Pole and Santa Claus's home. What unfolds is an adventure which follows a doubting boy, who takes an extraordinary train ride to the North Pole; during this ride, he embarks on a journey of self-discovery which shows him that the wonder of life never fades for those who believe.",English,"United States, Australia",Nominated for 3 Oscars. 5 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.6,"270,029",tt0338348,movie,N/A,"$191,019,448",N/A,N/A,True,"""Expreso polar, El""",
Dumbo,1941,G,31 Oct 1941,64 min,"Animation, Adventure, Drama","Samuel Armstrong, Norman Ferguson, Wilfred Jackson","Joe Grant, Dick Huemer, Otto Englander","Sterling Holloway, Edward Brophy, James Baskett","The stork delivers a baby elephant to Mrs. Jumbo, veteran of the circus, but the newborn is ridiculed because of his truly enormous ears and dubbed ""Dumbo"". After being separated from his mother, Dumbo is relegated to the circus' clown acts; it is up to his only friend, a mouse, to assist Dumbo to achieve his full potential.",English,United States,Won 1 Oscar. 6 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNzIzZWZmM2ItNGMzOC00MGFiLTgxODgtNTQ2Mzk3ZWE1MzYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.2,"149,916",tt0033563,movie,N/A,N/A,N/A,N/A,True,Dumbo/ Dumbo edición especial,
Ice Age: Dawn of the Dinosaurs,2009,PG,01 Jul 2009,94 min,"Animation, Adventure, Comedy","Carlos Saldanha, Michael Thurmeier","Michael Berg, Peter Ackerman, Mike Reiss","Ray Romano, John Leguizamo, Denis Leary","After the events of ""Ice Age: The Meltdown"", life begins to change for Manny and his friends: Scrat is still on the hunt to hold onto his beloved acorn, while finding a possible romance in a female sabre-toothed squirrel named Scratte. Manny and Ellie, having since become an item, are expecting a baby, which leaves Manny anxious to ensure that everything is perfect for when his baby arrives. Diego is fed up with being treated like a house-cat and ponders the notion that he is becoming too laid-back. Sid begins to wish for a family of his own, and so steals some dinosaur eggs which leads to Sid ending up in a strange underground world where his herd must rescue him, while dodging dinosaurs and facing danger left and right, and meeting up with a one-eyed weasel known as Buck who hunts dinosaurs intently.",English,"United States, United Kingdom, Canada",3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZWJjZDYwMjgtZDZiMy00YzcyLThjN2YtYjI1ZDQ2ZDJkOTVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.9,"283,955",tt1080016,movie,N/A,"$196,573,705",N/A,N/A,True,"""Era del hielo 3, La. solo en sala""",
The Nightmare Before Christmas,1993,PG,29 Oct 1993,76 min,"Animation, Adventure, Family",Henry Selick,"Caroline Thompson, Michael McDowell, Tim Burton","Danny Elfman, Chris Sarandon, Catherine O'Hara","Jack Skellington, the pumpkin king of Halloween Town, is bored with doing the same thing every year for Halloween. One day he stumbles into Christmas Town, and is so taken with the idea of Christmas that he tries to get the resident bats, ghouls, and goblins of Halloween Town to help him put on Christmas instead of Halloween -- but alas, they can't get it quite right.",English,United States,Nominated for 1 Oscar. 7 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNmYxOTAzZWYtOGI3Yi00ODc3LTk5ZjYtZTY0MzVkZTg3YmRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.9,"409,668",tt0107688,movie,N/A,"$94,707,435",N/A,N/A,True,"""Extraño mundo de Jack, el""",
E.T. the Extra-Terrestrial,1982,PG,11 Jun 1982,115 min,"Adventure, Family, Sci-Fi",Steven Spielberg,Melissa Mathison,"Henry Thomas, Drew Barrymore, Peter Coyote","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",English,United States,Won 4 Oscars. 52 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BYTNhNmY0YWMtMTczYi00MTA0LThhMmUtMTIxYzE0Y2QwMzRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,7.9,"468,998",tt0083866,movie,N/A,"$439,454,989",N/A,N/A,True,E.T. El extraterrestre,
Garfield,2017,N/A,19 Jan 2018,13 min,"Short, Drama",Georgi Banks-Davies,Myra Appannah,"Matthew Trevannion, Mandeep Dhillon","Krishna wakes up in a strange place, with a strange guy. As she pieces together how she got there, she realises that the reasons may be bigger than just the night before.",English,United Kingdom,2 nominations total,https://m.media-amazon.com/images/M/MV5BNjk2YTJjYjQtMTUyNC00Nzg0LTk3YmEtZmE3OTkxN2FmM2EyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,149,tt6585312,movie,N/A,N/A,N/A,N/A,True,Gardfield 1,
George of the Jungle,1997,PG,16 Jul 1997,92 min,"Action, Adventure, Comedy",Sam Weisman,"Jay Ward, Dana Olsen, Audrey Wells","Brendan Fraser, Leslie Mann, Thomas Haden Church","Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.","English, Spanish",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOWYwMzU2MDgtNTJmNy00MGRjLWI4N2ItNjA2ZGZkMTVjNjhmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.6,"88,109",tt0119190,movie,N/A,"$105,263,257",N/A,N/A,True,George de la selva,
Piglet's Big Movie,2003,G,22 Apr 2003,75 min,"Animation, Adventure, Comedy",Francis Glebas,"Brian Hohlfeld, A.A. Milne, Ted Henning","John Fiedler, Jim Cummings, Ken Sansom","When the gang from the Hundred Acre Wood begin a honey harvest, young Piglet is excluded and told that he is too small to help. Feeling inferior, Piglet disappears and his pals Eeyore, Rabbit, Tigger, Roo, and Winnie the Pooh must use Piglet's scrapbook as a map to find him. In the process they discover that this very small animal has been a big hero in a lot of ways.",English,"United States, Japan",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTc5MzE2ODAyOF5BMl5BanBnXkFtZTYwNTcwNDg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.1,"9,230",tt0323642,movie,N/A,"$23,103,423",N/A,N/A,True,"""Gran película de Piglet, la""",
A Goofy Movie,1995,G,07 Apr 1995,78 min,"Animation, Adventure, Comedy",Kevin Lima,"Jymn Magon, Chris Matheson, Brian Pimental","Bill Farmer, Jason Marsden, Jim Cummings","It's the last day of school, and Max wants to catch the eye of Roxanne, one of the more attractive girls in school. But how can you be cool when your dad's Goofy? Stage an impromptu concert at the final assembly, that's how! Or at least it sounded good until Principal Mazer found out. Goofy finds out about his son's antics (sort of), and decides a fishing trip, like his dad took him on, is the solution. Of course, he doesn't know that Max finally lands a date with Roxanne for a party thrown by the class valedictorian. Through the movie, Goofy tries to bring Max out of his shell, while Max resents being taken away, and lying to Roxanne about the trip (he tells her he &amp; his dad will be appearing on TV at the PowerLine concert in LA). Will Max sink or swim? Will Goofy goof up his son's first shot at romance? Will Bigfoot step back? And what about those nuns?",English,"United States, Australia, France, Canada, Spain",5 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q0OTFmMWMtMjEyNC00YWE3LTg1MGEtM2JmZGFlM2E1YWMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.0,"67,760",tt0113198,movie,N/A,"$35,348,597",N/A,N/A,True,"""Goofy, la película""",
Big Hero 6,2014,PG,07 Nov 2014,102 min,"Animation, Action, Adventure","Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson","Ryan Potter, Scott Adsit, Jamie Chung","When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6.""",English,United States,Won 1 Oscar. 17 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ3YzUyOGQtNjdlYS00YmRhLWIyOWYtMGQ3YjkwMjJiYzRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.8,"548,572",tt2245084,movie,N/A,"$222,527,828",N/A,N/A,True,Grandes héroes,
Garfield: A Tail of Two Kitties,2006,PG,16 Jun 2006,82 min,"Adventure, Comedy, Family",Tim Hill,"Joel Cohen, Alec Sokolow, Jim Davis","Breckin Meyer, Jennifer Love Hewitt, Billy Connolly","Garfield (Bill Murray) is back and this time he and his canine sidekick Odie follow their owner, Jon Arbuckle (Breckin Meyer), to England, the U.K. may never recover, as Garfield is mistaken for a look-alike, regal cat who has inherited a castle. Garfield savors the royal treatment afforded by his loyal four-legged subjects, but his reign is in jeopardy. The evil nefarious stubborn Lord Dargis (Sir Billy Connolly) is determined to do away with Garfield, so he can turn the castle into a resort. Garfield's bigger, better, more perfect world is soon turned upside down in this tale of two kitties.",English,"United Kingdom, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BNTRhMGU5NmYtOTVmNy00OGMzLWFhMWYtZjNlNWY3ZTY3MjBkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.0,"49,822",tt0455499,movie,N/A,"$28,426,747",N/A,N/A,True,Gardfield 2,
Halo Legends,2010,PG-13,16 Feb 2010,120 min,"Animation, Action, Adventure, Sci-Fi","Frank O'Connor, Shinji Aramaki, Hideki Futamura, Toshiyuki Kan'no, Tomoki Kyôda, Kôichi Mashimo, Yasushi Muraki, Daisuke Nishio, Mamoru Oshii, Kôji Sawai, Hiroshi Yamazaki, Keiichi Sugiyama(co-director), Takahiro Tanaka(co-director)","Joseph Staten (game), Frank O'Connor (screenplay cooperation), Hiroshi Yamazaki (screenplay), Eiji Umehara (screenplay), Hiroyuki Kawasaki (screenplay), Daisuke Nishio (screenplay), Megumi Shimizu (screenplay), Dai Satô (screenplay), Ryan Morris (screenplay), Naruki Nagakawa (screenplay)","Josh Grelle, Brittney Karbowski, Luci Christian, Greg Ayres","A collection of seven stories from the Halo Universe created by Japan's most creative minds. First up is ""Origins"" a two part episode showing the expansive history of the Halo Universe and the history of the 100,000 year long franchise timeline, told through the eyes of Cortana. Second comes ""The Duel"" Taking place long before the Human-Covenant War, it tells the story of an Arbiter, Fal 'Chavamee, who refuses to accept the Covenant Religion. Taking a turn to the Spartan side of the story ""Homecoming"" focuses on the tragedies involving the Spartan-II recruitment in 2517, and the Spartans coming to terms with their origins. Taking a turn in tone comes ""Odd One Out"" a non-cannon parody of the Halo storyline. ""Prototype"" tells the story of a Marine who goes against his orders to destroy an advanced prototype armor and uses the suit to buy time for civilians evacuating from the planet. ""The Babysitter"" tales of the the rivalry between the Spartan-II Commandos and the Orbital Drop Shock Troopers as they're sent to Covenant-controlled world to assassinate a Covenant Prophet. And finally ""The Package"" a two-part all CGI film follows Master Chief and an elite squad of Spartan-II super soldiers as they execute a top-secret mission to retrieve a highly valuable UNSC asset on a Covenant Assault Carrier.","English, Japanese","USA, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMzE5NDAzNDkwOV5BMl5BanBnXkFtZTgwNTE3ODAwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"5,142",tt1480660,movie,N/A,N/A,N/A,N/A,True,Halo leyendas,
The Iron Giant,1999,PG,06 Aug 1999,86 min,"Animation, Action, Adventure",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes","Eli Marienthal, Harry Connick Jr., Jennifer Aniston","This is the story of a nine-year-old boy named Hogarth Hughes who makes friends with an innocent alien giant robot that came from outer space. Meanwhile, a paranoid U.S. Government agent named Kent Mansley arrives in town, determined to destroy the giant at all costs. It's up to Hogarth to protect him by keeping him at Dean McCoppin's place in the junkyard.",English,"United States, Czech Republic, United Kingdom",Won 1 BAFTA Award20 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"257,198",tt0129167,movie,N/A,"$23,315,035",N/A,N/A,True,Gigante de hierro,
The Cat in the Hat,2003,PG,21 Nov 2003,82 min,"Adventure, Comedy, Family",Bo Welch,"Dr. Seuss, Alec Berg, David Mandel","Mike Myers, Alec Baldwin, Kelly Preston","Conrad and Sally Walden (Spencer Breslin and Dakota Fanning) are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat ('Mike Myers') walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their mother gets back, but their pompous neighbor has bigger plans for them.",English,United States,7 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTI5MDU3MTYyMF5BMl5BanBnXkFtZTYwODgyODc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19,4.1,"92,689",tt0312528,movie,N/A,"$101,149,285",N/A,N/A,True,"""Gato, El - The cat in the hat""",
Jack and the Beanstalk: The Real Story,2001,TV-G,02 Dec 2001,180 min,"Adventure, Drama, Fantasy",N/A,N/A,"Matthew Modine, Vanessa Redgrave, Mia Sara","Jack Robinson is a wealthy business man with no time for anything but work. However, a family curse is looming over him, no man in the Robinson line ever lives past the age of thirty. With his upcoming birthday appears the remains of literally giant skeleton and a mysterious woman who claims to have once known the giant. Jack decides to go with her to another world where all is revealed to him along with the story of his ancestor, the original Jack and the Beanstalk. In order to save his own life and the world of the giants, Jack must right the wrongs of the past and return the magical harp and goose that lays the golden eggs to their rightful home.",English,United States,Won 1 Primetime Emmy. 3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOGRkNjNjMDktYTJlYS00N2M3LWFkOGQtN2UxZjBhMGYxMjBiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"4,234",tt0264262,series,,,,,True,Jack y las habichuelas mágicas la verdadera...,1
Nim's Island,2008,PG,04 Apr 2008,96 min,"Adventure, Family, Fantasy","Jennifer Flackett, Mark Levin","Joseph Kwong, Paula Mazur, Mark Levin","Jodie Foster, Gerard Butler, Abigail Breslin","Nim Rusoe is a girl who joins her father, a scientist, when he does research on marine life on an island. It's just the two of them but she spends her time making friends with all the animals she encounters, chatting on the computer and reading the adventure books of Alex Rover. When her father goes to do some research but when a storm strikes the island he doesn't come back, she gets worried and frightened. She then e-mails Alex Rover hoping that he will come but what she doesn't know is that Alex Rover is a woman who is agoraphobic and germaphobic. But her creation comes to life and eggs her to go. Unfortunately she has never gone anywhere before and is denied her necessities like her sanitary gel by the customs officer at the airport. In the meantime, Nim tries to be strong while waiting for Alex to arrive.",English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BY2YyY2FjMzgtM2YxNi00NWYzLWIyMzUtZGJhZTY2YWJhYTU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.0,"37,841",tt0410377,movie,N/A,"$48,006,762",N/A,N/A,True,Isla del Nim,
Jimmy Neutron: Boy Genius,2001,G,21 Dec 2001,82 min,"Animation, Action, Adventure",John A. Davis,"John A. Davis, David N. Weiss, J. David Stem","Debi Derryberry, Rob Paulsen, Megan Cavanagh","Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",English,United States,Nominated for 1 Oscar. 6 nominations total,https://m.media-amazon.com/images/M/MV5BOTVlOWQ0ZDctNzRjOC00ZThkLWE1OTItODg4NTJmZmE3NDUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.1,"40,408",tt0268397,movie,N/A,"$80,936,232",N/A,N/A,True,Jimmy Neutron: el niño genio solo en sala,
Johnny Mysto: Boy Wizard,1997,PG,30 Dec 1997,87 min,"Adventure, Fantasy",Jeff Burr,Neal Marshall Stevens,"Lane Toran, Russ Tamblyn, Michael Ansara, Amber Tamblyn","Novice magician Johnny Mysto dreams of going back in time to visit the magicians of earlier eras. He recruits TV magician Blackmoor and begins his own time-travel quest. After accidentally transporting his younger sister to medieval times during a magic trick, Johnny has even more incentive. Guided by his mystical ring, Johnny travels all the way to Camelot, meeting ancient legends Merlin and King Arthur along the way.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk2M2M0YmMtNGM0OC00YjdmLWI2ZWQtNDNkMDhiYzI0YTY0XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,144,tt0137041,movie,N/A,N/A,N/A,N/A,True,Johnny Mysto niño mágico solo en sala,
